question,answer,feedback,timestamp
How to apply for ATM card?,"एटीएम कार्ड के लिए आवेदन करने के लिए, जिसे डेबिट कार्ड भी कहा जाता है, यह आमतौर पर बचत खाता खोलने पर स्वचालित रूप से जारी किया जाता है। यदि आपको कोई प्राप्त नहीं हुआ है, तो आप शाखा में या नेट बैंकिंग के माध्यम से इसके लिए अनुरोध कर सकते हैं।",Helpful,2026-06-26 11:24:44.151822
How much interest does one have to pay to the bank on taking a home loan?,"हमारे संदर्भ में गृह ऋण पर ब्याज दर स्पष्ट रूप से नहीं बताई गई है। हालाँकि, हम एक संबंधित उत्पाद, संपत्ति पर ऋण (एलएपी) को देख सकते हैं, जिसकी ब्याज दर 8-12% प्रति वर्ष है। कृपया ध्यान दें कि गृह ऋण की ब्याज दरें अलग-अलग हो सकती हैं, और मैं हमारी वर्तमान गृह ऋण ब्याज दरों पर नवीनतम और सटीक जानकारी के लिए हमारे बैंक से जांच करने की सलाह देता हूं।",Helpful,2026-06-26 11:25:46.426430
How to open a new account?,"नया खाता खोलने के लिए, आप पीपीएफ खाता खोलने के समान आवश्यक दस्तावेजों, जैसे आधार, पैन और पासपोर्ट फोटो के साथ अपनी बैंक शाखा में जा सकते हैं। हालाँकि, नियमित बचत खाते के लिए, विशिष्ट आवश्यकताएँ भिन्न हो सकती हैं। नया खाता खोलने के लिए आवश्यक सटीक दस्तावेज़ों और प्रक्रियाओं के बारे में अपनी बैंक शाखा से पुष्टि करना सबसे अच्छा है।",Not Helpful,2026-06-26 11:26:43.913512
How to transfer the account from rural branch to urban branch?,"अपने खाते को ग्रामीण शाखा से शहरी शाखा में स्थानांतरित करने के लिए, आप बैंक में एक अनुरोध फ़ॉर्म जमा कर सकते हैं। चूँकि दोनों शाखाएँ एक ही बैंक का हिस्सा हैं, आप एक खाते को एक शाखा से दूसरी शाखा में स्थानांतरित करने जैसी ही प्रक्रिया का पालन कर सकते हैं। आपका खाता नंबर आमतौर पर वही रहेगा. कृपया उस ग्रामीण शाखा में जाएँ जहाँ आपका खाता वर्तमान में है और प्रक्रिया शुरू करने के लिए खाता स्थानांतरण अनुरोध प्रपत्र माँगें।",Helpful,2026-06-26 11:30:37.810332
How to check balance in account?,"अपने खाते की शेष राशि जांचने के लिए, आप निम्न विधियों में से किसी एक का उपयोग कर सकते हैं: 

1. मोबाइल बैंकिंग ऐप
2. नेट बैंकिंग
3. एटीएम
4. एसएमएस बैंकिंग
5. अपने बैंक की हेल्पलाइन पर कॉल करें

ये विकल्प आपको अपने चालू खाते की शेष राशि तक आसानी से पहुंचने और देखने की अनुमति देते हैं।",Helpful,2026-06-26 11:36:09.251277
"After opening the new account, will I get the check book or not?","नया खाता खोलने के बाद, आप मोबाइल बैंकिंग, नेट बैंकिंग के माध्यम से या अपनी बैंक शाखा में चेक बुक मांग पर्ची जमा करके चेक बुक का अनुरोध कर सकते हैं। यह नए खाते के साथ स्वचालित रूप से प्रदान नहीं किया जाता है, लेकिन आप इन तरीकों का उपयोग करके आसानी से इसके लिए अनुरोध कर सकते हैं।",Helpful,2026-06-26 11:48:26.595449
How can I change my personal information from my account?,"अपने बैंक खाते में अपनी व्यक्तिगत जानकारी बदलने के लिए, आप आवश्यक दस्तावेजों, जैसे वैध आईडी प्रमाण और अद्यतन पता प्रमाण (जैसे आधार, उपयोगिता बिल, या किराया समझौता) के साथ अपनी शाखा में जा सकते हैं और एक अनुरोध सबमिट कर सकते हैं। वैकल्पिक रूप से, ईमेल आईडी अपडेट जैसे कुछ बदलाव खाता सेटिंग्स के तहत नेट बैंकिंग के माध्यम से किए जा सकते हैं, जिसके बाद आपके पंजीकृत मोबाइल पर एक ओटीपी सत्यापन भेजा जाएगा। मोबाइल नंबर अपडेट के लिए, आपको एक वैध आईडी प्रमाण के साथ अपनी शाखा में जाना होगा और एक अनुरोध फ़ॉर्म भरना होगा। कृपया ध्यान दें कि आप जिस प्रकार की जानकारी अपडेट करना चाहते हैं उसके आधार पर विशिष्ट प्रक्रिया भिन्न हो सकती है।",Helpful,2026-06-26 11:56:13.318396
How do I activate my new card or change my PIN?,"To activate your new card, you can use it at an ATM with your PIN or complete a transaction at a POS terminal. Some banks may require you to call the helpline for the first activation. 

If you need to change your PIN, you can do so by visiting any ATM of your bank, selecting the 'PIN Change' option, entering your old PIN, and then entering and confirming your new PIN. If you haven't set a PIN for your debit card yet, you can use the ATM's 'Set PIN' option or follow the SMS/app-based PIN generation process if your bank supports green PIN.",Helpful,2026-06-26 12:03:12.262756
How do I block a lost or stolen card?,"To block a lost or stolen card, you can call the bank's 24x7 helpline or use the mobile banking app to block it instantly. Additionally, for debit cards, you can also send an SMS as instructed by your bank. This will ensure your card is blocked immediately to prevent any unauthorized transactions.",Helpful,2026-06-27 14:34:34.668725
How do I block a lost or stolen card?,"To block a lost or stolen card, you can call the bank's 24x7 helpline or use the mobile banking app to block it instantly. Additionally, for debit cards, you can also send an SMS as instructed by your bank. This will ensure your card is blocked immediately to prevent any unauthorized transactions.",Helpful,2026-06-27 14:38:08.261123
How do I download account statements?,"To download your account statement, you can log in to your net banking or mobile banking app. Once logged in, navigate to the 'Account Statements' section, select the desired period, and download the statement as a PDF. Alternatively, you can also request a physical statement at your bank branch for a fee.",Helpful,2026-06-27 19:00:20.630159
How do I download account statements?,"To download your account statement, you can log in to your net banking or mobile banking app. Once logged in, navigate to the 'Account Statements' section, select the desired period, and download the statement as a PDF. Alternatively, you can also request a physical statement at your bank branch for a fee.",Helpful,2026-06-27 19:01:25.207569
How do I download account statements?,"To download your account statement, you can log in to your net banking or mobile banking app. Once logged in, navigate to the 'Account Statements' section, select the desired period, and download the statement as a PDF. Alternatively, you can also request a physical statement at your bank branch for a fee.",Not Helpful,2026-06-27 19:08:52.005833
How to do entry in a passbook?,"To update your passbook, you can either visit your bank branch or use a passbook printing kiosk. This process is known as a passbook update, which records all your latest transactions in your passbook.",Helpful,2026-06-28 16:58:51.661194
What is a CIF Number? ,"A CIF (Customer Information File) number is not explicitly defined in our context. However, based on general banking knowledge, a CIF number is a unique identifier assigned to a customer's account by a bank, containing all the customer's account information and transaction history. It's used by banks to manage and track customer accounts. If you're looking for a specific identifier, you may also consider your account number, which is a unique code assigned to your account for transaction purposes.",Helpful,2026-06-28 17:53:27.033916
How do I link my Aadhaar?,"To link your Aadhaar, you can use one of the following methods: 

1. Online via net banking
2. At an ATM
3. By SMS
4. By visiting your bank's branch with your Aadhaar card.

Please note that linking Aadhaar to your bank account is now voluntary but may be required for certain benefits.",Not Helpful,2026-06-28 17:54:21.296823
hoe to open a new account?,"To open a new account, you can either visit your bank branch with the required documents or open it online. Most banks allow online account opening by filling a form, uploading KYC documents, and completing a video KYC call. Alternatively, you can visit a bank branch with your Aadhaar, PAN, and passport photo to open a specific type of account, such as a PPF account, or with just your Aadhaar and a photo for a PMJDY account. Please note that the specific requirements may vary depending on the type of account you wish to open.",Helpful,2026-06-28 18:38:05.854997
How long do I have to update my KYC?,"The provided FAQ context does not specify a time frame for updating KYC. However, I can inform you that it's essential to keep your KYC information up-to-date to prevent any disruptions to your banking services. I recommend checking with our bank's official website or contacting our customer support directly for the most accurate and up-to-date information on KYC update deadlines.",Not Helpful,2026-06-28 19:06:50.566451
