Section,Question,Answer,processed_question
Basic Accounts,how do i find my ifsc code?,"You can find your IFSC code on the first page of your cheque book, your passbook, the bank's website, or on a cheque leaf.",find ifsc code
Basic Accounts,what is a mini statement?,"A mini statement shows your last 5–10 transactions. You can get it at an ATM, through SMS banking, or by giving a missed call to your bank.",mini statement
Basic Accounts,what is a cheque truncation system?,"CTS replaces physical cheque movement with digital images during clearing, making the process faster and reducing errors.",cheque truncation system
Basic Accounts,what is the positive pay system?,Positive Pay requires you to share the cheque details with the bank before presenting it. This helps the bank catch fake or altered cheques.,positive pay system
Basic Accounts,what is a currency chest?,A currency chest is a storage facility at certain bank branches that holds RBI's stock of notes and coins for distribution to nearby branches.,currency chest
Basic Accounts,what is a nidhi company?,"A nidhi company is a type of NBFC that takes deposits from and lends only to its own members, encouraging savings within a small community.",nidhi company
Basic Accounts,what is the difference between nre and fcnr?,"NRE accounts hold foreign earnings in Indian rupees. FCNR accounts hold foreign earnings in the original foreign currency, protecting against exchange rate changes.",difference nre fcnr
Basic Accounts,what is an account aggregator?,An account aggregator is an RBI-licensed service that lets you securely share your financial data across banks and apps with your consent.,account aggregator
Basic Accounts,what is a shg?,"SHG stands for Self-Help Group. It's a small group of people, usually women, who save together and take turns getting small loans from a pooled fund.",shg
Basic Accounts,what is the nach system?,"NACH is National Automated Clearing House. It automates bulk payments like salaries, EMIs, SIPs, and utility bills between banks.",nach system
Basic Accounts,what is a flexi deposit account?,A flexi deposit combines a savings account with an FD. Extra money above a limit goes into an FD automatically to earn more interest.,flexi deposit account
Basic Accounts,what is an account opening bonus?,"Some banks offer cashback, welcome gifts, or reward points when you open a new account or upgrade to a premium account.",account opening bonus
Basic Accounts,what is the difference between nominee and legal heir?,"A nominee receives the account balance after your death for safekeeping, but the legal heirs under your will or succession law are the actual owners.",difference nominee legal heir
Basic Accounts,what is a succession certificate?,A succession certificate is issued by a court to allow legal heirs to claim funds from a deceased person's bank account when there's no will.,succession certificate
Basic Accounts,what is a passbook update?,Passbook update means visiting your bank branch or using a passbook printing kiosk to record all your latest transactions in your passbook.,passbook update
Basic Accounts,what is tds deduction from savings account interest?,"Banks deduct TDS if total interest on savings account exceeds ₹10,000 per year for regular customers. You can avoid it by submitting Form 15G or 15H.",tds deduction savings account interest
Basic Accounts,what is a joint account mode of operation?,"For a joint account you can choose: Either or Survivor (any one can operate), Former or Survivor (primary holder operates), or Jointly (both signatures required).",joint account mode operation
Basic Accounts,how do i update my mobile number in a bank account?,"Visit your branch with your old and new mobile number and a valid ID proof, fill a request form, and your number will be updated usually within one working day.",update mobile number bank account
Basic Accounts,how do i change my address in a bank account?,"Submit a request at your branch along with a fresh address proof like an Aadhaar, utility bill, or rent agreement. Some banks allow this online too.",change address bank account
Basic Accounts,what is a scss account?,"SCSS is Senior Citizen Savings Scheme. It's a government-backed investment for people above 60, offering higher interest rates with a 5-year tenure.",scss account
Basic Accounts,what is a bank's role in the economy?,Banks collect savings from people and lend them to businesses and individuals. This keeps money flowing through the economy and supports growth.,banks role economy
Basic Accounts,what is the insolvency and bankruptcy code's impact on banks?,The IBC lets banks take faster legal action against large defaulters by initiating resolution or liquidation of the borrower's assets through the NCLT.,insolvency bankruptcy codes impact banks
Basic Accounts,what is a stale cheque?,A cheque becomes stale if it is not presented to the bank within 3 months from the date written on it. The bank will not honour a stale cheque.,stale cheque
Basic Accounts,what is an ante-dated cheque?,An ante-dated cheque has a date earlier than the date it was written. It's valid as long as it's presented within 3 months of the written date.,antedated cheque
Basic Accounts,what is a post-dated cheque?,A post-dated cheque carries a future date. The bank will not process it until that date arrives.,postdated cheque
Basic Accounts,what is a bearer cheque?,A bearer cheque can be encashed by anyone who presents it at the bank counter — no name is required. This makes it risky if lost.,bearer cheque
Basic Accounts,what is an order cheque?,An order cheque pays only to the person whose name is written on it. The bank verifies identity before making payment.,order cheque
Basic Accounts,what is a crossed cheque?,A crossed cheque has two parallel lines on it meaning it can only be deposited into a bank account and not encashed directly at the counter.,crossed cheque
Basic Accounts,what is account closure procedure?,"Submit a written request, return your debit card and unused cheques, and make sure all pending transactions are cleared. The bank will close the account and pay out the balance.",account closure procedure
Basic Accounts,what is a savings bank interest calculation?,"Banks calculate interest on your daily closing balance and credit it to your account quarterly, usually in March, June, September, and December.",savings bank interest calculation
Basic Accounts,what is the maximum fd tenure?,"Fixed deposits can be opened for a minimum of 7 days and a maximum of 10 years, depending on the bank's product offerings.",maximum fd tenure
Basic Accounts,what is a gold savings scheme at a bank?,Some banks offer gold savings schemes where you can make regular payments and redeem them as gold at the end of the scheme period.,gold savings scheme bank
Basic Accounts,what is an individual account?,An individual account is a standard bank account held in the name of a single person who is the sole owner and operator.,individual account
Basic Accounts,can a housewife open a bank account?,"Yes, any Indian citizen regardless of employment status can open a savings account with valid KYC documents.",housewife open bank account
Basic Accounts,what is the pmjjby scheme?,Pradhan Mantri Jeevan Jyoti Bima Yojana is a government life insurance scheme linked to bank accounts. It offers ₹2 lakh life cover for a yearly premium of ₹436.,pmjjby scheme
Basic Accounts,what is pmsby?,"Pradhan Mantri Suraksha Bima Yojana offers ₹2 lakh accidental death cover for a yearly premium of just ₹20, linked to your savings account.",pmsby
Basic Accounts,what is an account holder?,An account holder is the person or entity in whose name a bank account is officially registered and who has the authority to operate it.,account holder
Basic Accounts,what is a corporate banking account?,"A corporate banking account is designed for large businesses and offers services like cash management, trade finance, payroll, and foreign currency accounts.",corporate banking account
Basic Accounts,what is a flexi recurring deposit?,"A flexi RD allows you to vary your monthly deposit amount, unlike a regular RD where the amount is fixed. It gives more flexibility to irregular earners.",flexi recurring deposit
Basic Accounts,what is a multi-currency account?,A multi-currency account holds balances in multiple foreign currencies. It's mainly used by frequent international travellers and businesses dealing in multiple countries.,multicurrency account
Digital Banking,what is a debit card?,"A debit card is linked to your bank account. When you use it to shop or withdraw cash, the money is taken directly from your account.",debit card
Digital Banking,what is a credit card?,"A credit card lets you borrow money from the bank to make purchases. You pay it back later, and if you miss the deadline, you're charged interest.",credit card
Digital Banking,what is a pin?,PIN stands for Personal Identification Number. It's your 4–6 digit secret code used to authorise card transactions at ATMs and shops.,pin
Digital Banking,what is an atm?,"An ATM is Automated Teller Machine. It lets you withdraw cash, check your balance, and do basic banking without visiting a branch.",atm
Digital Banking,what is mobile banking?,"Mobile banking is using your bank's app on your smartphone to transfer money, pay bills, check your balance, and manage your account.",mobile banking
Digital Banking,what is net banking?,"Net banking lets you log in to your bank's website to do all your banking — transfers, bill payments, fixed deposits — from any browser.",net banking
Digital Banking,what is otp?,OTP is One-Time Password. It's a temporary code sent to your phone or email to confirm that it's really you doing a transaction.,otp
Digital Banking,what is neft?,"NEFT is National Electronic Funds Transfer. It lets you send money to any bank account in India. Transfers happen in batches every 30 minutes, 24x7.",neft
Digital Banking,what is rtgs?,RTGS is Real-Time Gross Settlement. It's for transferring large amounts (above ₹2 lakh) instantly. It works 24x7 and is settled in real time.,rtgs
Digital Banking,what is imps?,"IMPS is Immediate Payment Service. It lets you send money to any bank account instantly, any time, even on holidays. There's no minimum amount.",imps
Digital Banking,what is upi?,"UPI is Unified Payments Interface. It lets you send money instantly using just a mobile number, UPI ID, or QR code — no account number needed.",upi
Digital Banking,what is a virtual card?,"A virtual card is a digital card number you can use for online shopping without using your real card, keeping your actual card details safe.",virtual card
Digital Banking,what is two-factor authentication?,Two-factor authentication means you need two things to log in — usually your password plus an OTP sent to your phone. It makes your account much harder to hack.,twofactor authentication
Digital Banking,what is a daily transaction limit?,Banks set a maximum amount you can transfer or withdraw in a day for security. You can usually change this in your banking app or at the branch.,daily transaction limit
Digital Banking,what is internet banking fraud?,Internet banking fraud is when someone illegally accesses your account online to steal money. It often happens through phishing or fake bank websites.,internet banking fraud
Digital Banking,what is qr code payment?,"You scan a merchant's QR code using your UPI app and the payment goes through instantly. No cash, no card, no hassle.",qr code payment
Digital Banking,what is a digital wallet?,"A digital wallet like Paytm or Amazon Pay stores your money digitally. You can use it to pay at stores, apps, and websites without a bank card.",digital wallet
Digital Banking,what is the bhim app?,BHIM is a UPI payment app developed by NPCI. You can use it to send and receive money instantly using just a UPI ID or mobile number.,bhim app
Digital Banking,what is contactless payment?,"You tap your card or phone on a payment machine to pay. In India, no PIN is needed for amounts up to ₹5,000.",contactless payment
Digital Banking,what is a qr code?,A QR code is a square barcode that stores payment information. Merchants display them so customers can scan and pay using any UPI app.,qr code
Digital Banking,what is upi id?,"A UPI ID is your payment address, like name@bank. You share it with others so they can send you money without knowing your account number.",upi id
Digital Banking,what is google pay?,"Google Pay is a UPI-based payment app by Google. You can use it to send money, pay bills, and recharge phones directly from your bank account.",google pay
Digital Banking,what is phonepe?,"PhonePe is a popular UPI app in India where you can make payments, split bills, pay utilities, invest in mutual funds, and buy insurance.",phonepe
Digital Banking,what is paytm?,"Paytm is a fintech app offering a digital wallet, UPI payments, bill payments, investing, and even a payments bank account.",paytm
Digital Banking,what is net banking login?,You log in to net banking using your customer ID or username and a password. A second verification using OTP is usually needed.,net banking login
Digital Banking,what is imps transfer limit?,Most banks allow IMPS transfers of up to ₹5 lakh per transaction. Some banks allow up to ₹2–5 lakh per day depending on your account type.,imps transfer limit
Digital Banking,how long does neft take?,"NEFT settles in the next half-hour batch after you initiate the transfer. It runs 24x7, so your money usually arrives within 30 minutes.",long neft take
Digital Banking,what is rtgs minimum amount?,The minimum amount for RTGS is ₹2 lakh. There is no maximum limit. It's ideal for large payments like property deals.,rtgs minimum amount
Digital Banking,what is a upi limit per day?,"RBI allows up to ₹1 lakh per transaction for standard UPI. For specific uses like capital markets or medical emergencies, the limit is ₹5 lakh.",upi limit per day
Digital Banking,what is upi autopay?,UPI AutoPay lets you set up automatic recurring payments — like subscriptions or SIPs — so money is debited without you approving each time.,upi autopay
Digital Banking,what is tokenization of cards?,"Tokenization replaces your actual card number with a unique code (token) during online payments, so your real card details are never exposed.",tokenization cards
Digital Banking,what is a payment gateway?,"A payment gateway is the technology that connects online shops to banks, securely processing your card or UPI payment when you checkout.",payment gateway
Digital Banking,what is aadhaar-enabled payment system?,AePS lets you withdraw cash or check balance at a banking agent using just your Aadhaar number and fingerprint — no card or phone needed.,aadhaarenabled payment system
Digital Banking,what is a banking correspondent?,"A banking correspondent is an agent, often a shopkeeper, who provides basic banking services in areas without a bank branch using a handheld device.",banking correspondent
Digital Banking,what is a prepaid card?,A prepaid card is loaded with a set amount of money beforehand. You can use it like a debit card until the balance runs out.,prepaid card
Digital Banking,what is cvv on a card?,CVV is a 3-digit security code on the back of your card. It's used for online transactions to confirm you physically have the card.,cvv card
Digital Banking,what is phishing?,"Phishing is when fraudsters send fake emails or messages that look like they're from your bank, trying to trick you into giving your password or OTP.",phishing
Digital Banking,what is vishing?,Vishing is phone fraud. Someone calls pretending to be a bank official and tries to get you to share your account details or OTP.,vishing
Digital Banking,what is smishing?,Smishing is SMS fraud. You get a message with a suspicious link claiming to be from your bank. Clicking it can steal your info or install malware.,smishing
Digital Banking,what is card skimming?,"Card skimming is when fraudsters attach a hidden device to an ATM to copy your card data, which they then use to make fake cards.",card skimming
Digital Banking,what is a chargeback?,If you dispute a card transaction — say you didn't get what you paid for — your bank can reverse the payment through a chargeback process.,chargeback
Digital Banking,what is e-kyc?,e-KYC is electronic KYC using your Aadhaar number. It verifies your identity digitally in seconds without any physical paperwork.,ekyc
Digital Banking,what is digilocker?,"DigiLocker is a government app where you can store digital copies of your Aadhaar, PAN, and other documents. Banks accept these for KYC.",digilocker
Digital Banking,what is ussd banking?,"USSD banking lets you access banking services like balance check and fund transfer by dialling *99# on any mobile phone, even without internet.",ussd banking
Digital Banking,what is the bbps?,"BBPS is Bharat Bill Payment System. It's a single platform to pay all kinds of bills — electricity, water, gas, loan EMIs — through any bank or app.",bbps
Digital Banking,what is fastag?,"FASTag is an RFID sticker on your car's windscreen. When you pass a toll booth, the fee is automatically deducted from your linked account.",fastag
Digital Banking,what is a missed call banking service?,Many banks let you check your balance or get a mini statement by just giving a missed call from your registered mobile number — no internet needed.,missed call banking service
Digital Banking,what is ivr banking?,"IVR lets you do basic banking by calling your bank's helpline and pressing numbered keys on your phone to check balance, report lost cards, etc.",ivr banking
Digital Banking,what is open banking?,Open banking lets you share your financial data with trusted third-party apps (with your permission) to get better financial tools and services.,open banking
Digital Banking,what is a banking chatbot?,"A banking chatbot is an AI assistant on your bank's app or website that answers questions, helps with transactions, and resolves issues instantly.",banking chatbot
Digital Banking,what is the free atm withdrawal limit?,"RBI allows 5 free ATM transactions at your own bank and 3 free transactions at other banks in metro cities per month. After that, ₹21 is charged per transaction.",free atm withdrawal limit
Digital Banking,what is a failed atm transaction?,"If money is deducted from your account but you don't get cash from the ATM, the bank must reverse the amount within 5 business days.",failed atm transaction
Digital Banking,what is the npci?,"NPCI is National Payments Corporation of India. It runs all major Indian payment systems like UPI, RuPay, IMPS, FASTag, and NACH.",npci
Digital Banking,what is a debit card daily limit?,"Banks usually allow ₹40,000–₹1 lakh per day on debit cards. You can change this in your banking app within the maximum limit.",debit card daily limit
Digital Banking,what is upi lite?,"UPI Lite is for small payments up to ₹500. It uses on-device balance and works without internet. Great for quick, low-value transactions.",upi lite
Digital Banking,what is a credit card statement?,"It's a monthly summary of all your credit card transactions, the total amount due, minimum payment due, and the payment due date.",credit card statement
Digital Banking,what is a credit card billing cycle?,A billing cycle is the monthly period (usually 30 days) during which all credit card transactions are recorded and billed.,credit card billing cycle
Digital Banking,what is a credit card grace period?,The grace period is the time between your billing date and payment due date — usually 15–25 days. Pay the full amount in this period to avoid interest.,credit card grace period
Digital Banking,what is a credit card minimum payment?,The minimum payment is the smallest amount (usually 5% of the balance) you must pay each month to keep your credit card account in good standing.,credit card minimum payment
Digital Banking,what is credit card interest?,"If you don't pay your full credit card bill, interest is charged on the outstanding amount — usually 24% to 42% per year, which is very high.",credit card interest
Digital Banking,what is a credit card cash advance?,"A cash advance lets you withdraw cash using your credit card. It usually has a high fee and interest starts from day one, with no grace period.",credit card cash advance
Digital Banking,what is a debit card international usage?,Debit cards can be used abroad if the bank activates international access. A small conversion fee applies on each foreign currency transaction.,debit card international usage
Digital Banking,what is a credit card reward program?,"Credit card rewards give you points or cashback on every purchase. Accumulated points can be redeemed for travel, shopping, or bill payments.",credit card reward program
Digital Banking,what is a credit card annual fee?,"An annual fee is a yearly charge for using a credit card. Some cards are lifetime-free; premium cards may charge ₹500 to ₹10,000 per year.",credit card annual fee
Digital Banking,what is a card block request?,"If your card is lost or stolen, you can block it instantly by calling the bank's helpline, using the mobile app, or sending an SMS.",card block request
Digital Banking,what is a digital loan?,"A digital loan is sanctioned and disbursed entirely online in minutes, using data from your bank account, credit score, and digital income proof.",digital loan
Digital Banking,what is upi 123pay?,"UPI 123PAY allows feature phone users without internet to make UPI payments via IVR call or missed call, extending digital banking to rural India.",upi 123pay
Digital Banking,what is sim swap fraud?,"SIM swap fraud is when a criminal gets a duplicate SIM in your name, takes over your mobile number, and intercepts your OTPs to access your bank account.",sim swap fraud
Digital Banking,what is a bank's cyber security team?,"A bank's cyber security team monitors transactions around the clock, blocks suspicious activity, and responds to fraud to protect customer accounts.",banks cyber security team
Digital Banking,what is aeps withdrawal?,"With AePS, you can withdraw cash from a business correspondent's micro ATM using only your Aadhaar number and fingerprint — no card or PIN required.",aeps withdrawal
Digital Banking,what is the national financial switch?,"NFS is the ATM network run by NPCI that connects all ATMs in India, letting you withdraw cash from any bank's ATM using any bank's card.",national financial switch
Digital Banking,what is a debit card emi?,Some banks allow you to convert large debit card purchases into EMIs. The amount is deducted monthly from your account with a small interest charge.,debit card emi
Digital Banking,what is a recurring payment?,"A recurring payment is an automatic debit that happens every month for things like loan EMIs, insurance premiums, or streaming subscriptions.",recurring payment
Digital Banking,what is nach debit?,NACH debit is an automatic payment pulled from your account by a lender or service provider after you authorize it once via a mandate.,nach debit
Digital Banking,what is a nach return charge?,"If a NACH debit fails because your account had insufficient funds, the bank charges you a return fee — usually ₹100 to ₹500.",nach return charge
Digital Banking,what is net banking 2fa?,"Net banking uses two-factor authentication: your password (first factor) and an OTP sent to your registered mobile (second factor), to keep your account safe.",net banking 2fa
Digital Banking,what is a payment app pin?,A payment app PIN is a 4–6 digit code you set in UPI apps like Google Pay or PhonePe to authorize each money transfer from your phone.,payment app pin
Digital Banking,what is a banking app update?,"Banks regularly update their apps to fix security issues, add new features, and comply with RBI guidelines. Always keep your banking app updated.",banking app update
Digital Banking,what is biometric login in banking?,"Biometric login lets you access your banking app using your fingerprint or face instead of a password, making it faster and more secure.",biometric login banking
Digital Banking,what is the e-rupee?,"The e-Rupee is India's Central Bank Digital Currency launched by RBI. It's a digital form of cash, equal in value to physical rupee notes.",erupee
Digital Banking,what is cbdc?,"CBDC is Central Bank Digital Currency. In India, RBI's Digital Rupee is a CBDC that works like cash but in digital form, without needing a bank account.",cbdc
Digital Banking,what is an iban?,"IBAN is International Bank Account Number. It's a standard format for bank account numbers used in international transfers, especially in Europe and the Middle East.",iban
Digital Banking,what is a swift code?,SWIFT code is a unique code identifying your bank's international address. It's needed when sending or receiving money across countries.,swift code
Digital Banking,what is cross-border payment?,Cross-border payment is sending money from one country to another. It involves currency conversion and is processed through SWIFT or correspondent banks.,crossborder payment
Digital Banking,what is a wire transfer?,"A wire transfer is an electronic transfer of funds between banks, often used for international payments. It's secure but may take 1–5 business days.",wire transfer
Digital Banking,what is a remittance?,"Remittance is money sent by someone working abroad back to their family in their home country. In India, remittances from NRIs are a major source of income.",remittance
